pair_id,start_gantry_id,start_link_id,longitude,latitude,end_gantry_id,end_link_id,longitude,latitude,distance_km,direction
01F0005S_01F0017S,01F0005S,0000100000040C,121.731764,25.118786,01F0017S,0000100000130C,121.725906,25.109567,1.2,South
01F0017N_01F0005N,01F0017N,0000100100160C,121.725906,25.109567,01F0005N,0000100100050C,121.731636,25.118311,1.2,North
01F0017S_01F0029S,01F0017S,0000100000130C,121.725906,25.109567,01F0029S,0000100000260C,121.717856,25.102836,1.2,South
01F0029N_01F0017N,01F0029N,0000100100270C,121.717856,25.102836,01F0017N,0000100100160C,121.725906,25.109567,1.2,North
01F0029S_01F0061S,01F0029S,0000100000260C,121.717856,25.102836,01F0061S,0000100000600C,121.693644,25.088272,3.2,South
01F0061N_01F0029N,01F0061N,0000100100600C,121.693644,25.088272,01F0029N,0000100100270C,121.717856,25.102836,3.2,North
01F0061N_03F0087S,01F0061N,0000100100600C,121.693644,25.088272,03F0087S,0000300000870F,121.653556,25.089994,11.5,South
01F0061S_01F0099S,01F0061S,0000100000600C,121.693644,25.088272,01F0099S,0000101006000F,121.659478,25.076264,3.8,South
01F0099N_01F0061N,01F0099N,0000100100900F,121.659422,25.076044,01F0061N,0000100100600C,121.693644,25.088272,3.8,North
01F0099S_01F0147S,01F0099S,0000101006000F,121.659478,25.076264,01F0147S,0000100001440A,121.613519,25.065644,4.8,South
01F0099S_01H0163S,01F0099S,0000101006000F,121.659478,25.076264,01H0163S,00001A0001600A,121.598733,25.064006,6.4,South
01F0099S_03F0054N,01F0099S,0000101006000F,121.659478,25.076264,03F0054N,0000300100520C,121.681789,25.103747,6.3,North
01F0099S_03F0116S,01F0099S,0000101006000F,121.659478,25.076264,03F0116S,0000300001160F,121.643467,25.065611,2.5,South
01F0147N_01F0099N,01F0147N,0000100101440A,121.613519,25.065644,01F0099N,0000100100900F,121.659422,25.076044,4.8,North
01F0147N_03F0054N,01F0147N,0000100101440A,121.613519,25.065644,03F0054N,0000300100520C,121.681789,25.103747,8.7,North
01F0147N_03F0116S,01F0147N,0000100101440A,121.613519,25.065644,03F0116S,0000300001160F,121.643467,25.065611,3.7,South
01F0147S_01F0153S,01F0147S,0000100001440A,121.613519,25.065644,01F0153S,0000100001530A,121.607778,25.064911,0.6,South
01F0153N_01F0147N,01F0153N,0000100001530A,121.607778,25.064911,01F0147N,0000100101440A,121.613519,25.065644,0.6,North
01F0153S_01F0182S,01F0153S,0000100001530A,121.607778,25.064911,01F0182S,0000100001800A,121.580231,25.068986,2.9,South
01F0182S_01F0248S,01F0182S,0000100001800A,121.580231,25.068986,01F0248S,0000100002490A,121.516603,25.077631,6.6,South
01F0213N_01F0153N,01F0213N,0000100102100A,121.550358,25.073053,01F0153N,0000100001530A,121.607778,25.064911,6,North
01F0233N_01F0213N,01F0233N,0000101111050A,121.530703,25.073019,01F0213N,0000100102100A,121.550358,25.073053,2,North
01F0248S_01F0264S,01F0248S,0000100002490A,121.516603,25.077631,01F0264S,0000100002610F,121.501386,25.077464,1.6,South
01F0256N_01F0233N,01F0256N,0000100102520A,121.509106,25.078067,01F0233N,0000101111050A,121.530703,25.073019,2.3,North
01F0264S_01F0293S,01F0264S,0000100002610F,121.501386,25.077464,01F0293S,0000100002900F,121.472961,25.074797,2.9,South
01F0293N_01F0256N,01F0293N,0000100102900F,121.472961,25.074797,01F0256N,0000100102520A,121.509106,25.078067,3.7,North
01F0293S_01F0339S,01F0293S,0000100002900F,121.472961,25.074797,01F0339S,0000100003380F,121.428764,25.068239,4.6,South
01F0339S_01F0376S,01F0339S,0000100003380F,121.428764,25.068239,01F0376S,0000100003700F,121.397306,25.058667,3.7,South
01F0339S_01H0447S,01F0339S,0000100003380F,121.428764,25.068239,01H0447S,00001B0004400H,121.331858,25.060125,10.8,South
01F0340N_01F0293N,01F0340N,0000100103380F,121.428056,25.068,01F0293N,0000100102900F,121.472961,25.074797,4.7,North
01F0340N_01H0271N,01F0340N,0000100103380F,121.428056,25.068,01H0271N,00001A0102700F,121.494019,25.075256,6.8,North
01F0376N_01F0340N,01F0376N,0000100103700F,121.397306,25.058667,01F0340N,0000100103380F,121.428056,25.068,3.6,North
01F0376S_01F0413S,01F0376S,0000100003700F,121.397306,25.058667,01F0413S,0000100004110F,121.363561,25.064969,3.7,South
01F0413N_01F0376N,01F0413N,0000100104100H,121.363561,25.064969,01F0376N,0000100103700F,121.397306,25.058667,3.7,North
01F0413S_01F0467S,01F0413S,0000100004110F,121.363561,25.064969,01F0467S,0000100004600H,121.317761,25.047075,5.4,South
01F0467N_01F0413N,01F0467N,0000100104600H,121.317761,25.047075,01F0413N,0000100104100H,121.363561,25.064969,5.4,North
01F0467S_01F0492S,01F0467S,0000100004600H,121.317761,25.047075,01F0492S,0000100004900H,121.295531,25.036481,2.5,South
01F0492N_01F0467N,01F0492N,0000100104900H,121.295531,25.036481,01F0467N,0000100104600H,121.317761,25.047075,2.5,North
01F0492S_01F0511S,01F0492S,0000100004900H,121.295531,25.036481,01F0511S,0000100005100H,121.281731,25.025953,1.9,South
01F0511N_01F0492N,01F0511N,0000100105100H,121.281731,25.025953,01F0492N,0000100104900H,121.295531,25.036481,1.9,North
01F0511S_01F0532S,01F0511S,0000100005100H,121.281731,25.025953,01F0532S,0000100005310H,121.266194,25.012944,2.1,South
01F0511S_03F0525N,01F0511S,0000100005100H,121.281731,25.025953,03F0525N,0000300105200F,121.3419,24.936025,15.5,North
01F0511S_03F0559S,01F0511S,0000100005100H,121.281731,25.025953,03F0559S,0000300005520H,121.312458,24.930225,15.2,South
01F0532N_01F0511N,01F0532N,0000100105300H,121.266194,25.012944,01F0511N,0000100105100H,121.281731,25.025953,2.1,North
