id,direction,gantry_id
1,S,01F0005S
2,S,01F0017S
3,S,01F0029S
4,S,01F0061S
5,S,01F0099S
6,S,01F0147S
7,S,01F0153S
8,S,01F0182S
9,S,01F0248S
10,S,01F0264S
11,S,01F0293S
12,S,01F0339S
13,S,01F0376S
14,S,01F0413S
15,S,01F0467S
16,S,01F0492S
17,S,01F0511S
18,S,01F0532S
19,S,01F0557S
20,S,01F0578S
21,S,01F0633S
22,S,01F0664S
23,S,01F0681S
24,S,01F0699S
25,S,01F0750S
26,S,01F0880S
27,S,01F0928S
28,S,01F0950S
29,S,01F0980S
30,S,01F1045S
31,S,01F1123S
32,S,01F1292S
33,S,01F1389S
34,S,01F1465S
35,S,01F1572S
36,S,01F1621S
37,S,01F1664S
38,S,01F1699S
39,S,01F1774S
40,S,01F1802S
41,S,01F1839S
42,S,01F1906S
43,S,01F1960S
44,S,01F2011S
45,S,01F2089S
46,S,01F2156S
47,S,01F2249S
48,S,01F2322S
49,S,01F2394S
50,S,01F2425S
51,S,01F2472S
52,S,01F2514S
53,S,01F2603S
54,S,01F2674S
55,S,01F2714S
56,S,01F2827S
57,S,01F2866S
58,S,01F2930S
59,S,01F3019S
60,S,01F3083S
61,S,01F3126S
62,S,01F3185S
63,S,01F3227S
64,S,01F3252S
65,S,01F3286S
66,S,01F3366S
67,S,01F3398S
68,S,01F3460S
69,S,01F3535S
70,S,01F3561S
71,S,01F3590S
72,S,01F3640S
73,S,01F3676S
74,S,01F3686S
75,S,01F3736S
76,N,01F3736N
77,N,01F3696N
78,N,01F3676N
79,N,01F3640N
80,N,01F3590N
81,N,01F3559N
82,N,01F3535N
83,N,01F3460N
84,N,01F3398N
85,N,01F3366N
86,N,01F3286N
87,N,01F3252N
88,N,01F3227N
89,N,01F3185N
90,N,01F3126N
91,N,01F3083N
92,N,01F3019N
93,N,01F2930N
94,N,01F2866N
95,N,01F2827N
96,N,01F2714N
97,N,01F2674N
98,N,01F2603N
99,N,01F2514N
100,N,01F2472N
101,N,01F2425N
102,N,01F2394N
103,N,01F2322N
104,N,01F2249N
105,N,01F2156N
106,N,01F2089N
107,N,01F2011N
108,N,01F1960N
109,N,01F1906N
110,N,01F1839N
111,N,01F1802N
112,N,01F1774N
113,N,01F1699N
114,N,01F1664N
115,N,01F1621N
116,N,01F1572N
117,N,01F1465N
118,N,01F1389N
119,N,01F1292N
120,N,01F1123N
121,N,01F1045N
122,N,01F0979N
123,N,01F0956N
124,N,01F0928N
125,N,01F0880N
126,N,01F0750N
127,N,01F0699N
128,N,01F0681N
129,N,01F0664N
130,N,01F0633N
131,N,01F0584N
132,N,01F0557N
133,N,01F0532N
134,N,01F0511N
135,N,01F0492N
136,N,01F0467N
137,N,01F0413N
138,N,01F0376N
139,N,01F0340N
140,N,01F0293N
141,N,01F0256N
142,N,01F0233N
143,N,01F0213N
144,N,01F0153N
145,N,01F0147N
146,N,01F0099N
147,N,01F0061N
148,N,01F0029N
149,N,01F0017N
150,N,01F0005N
